epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.662,1.59723,4.4996,1.45598,0.00083,0.26683,0.0009,0.00039,1.37542,3.78424,1.31188,0.0672946,3.27381e-05,3.27381e-05
2,24.4355,1.42813,4.32252,1.30664,0.00059,0.17088,0.00156,0.00039,1.26882,3.72724,1.19938,0.0339933,6.47632e-05,6.47632e-05
3,31.4989,1.42493,4.1984,1.29511,0.00107,0.33878,0.0052,0.00219,1.23036,3.73196,1.14707,0.000690706,9.54683e-05,9.54683e-05
4,38.5402,1.29135,4.05334,1.20932,0.00198,0.58785,0.01022,0.00527,1.13955,3.64555,1.0878,9.406e-05,9.406e-05,9.406e-05
5,45.6314,1.2451,3.98698,1.17574,0.00258,0.72947,0.03977,0.02569,1.10308,3.58595,1.0609,9.208e-05,9.208e-05,9.208e-05
6,52.6606,1.20069,3.90584,1.13387,1,0.01092,0.06577,0.04726,1.1058,3.53565,1.07101,9.01e-05,9.01e-05,9.01e-05
7,59.6959,1.18906,3.767,1.14031,0.79498,0.03318,0.13166,0.08797,1.03581,3.35481,1.05083,8.812e-05,8.812e-05,8.812e-05
8,66.7046,1.16395,3.67085,1.13814,0.38173,0.11577,0.24076,0.16358,1.0599,3.25345,1.0459,8.614e-05,8.614e-05,8.614e-05
9,74.0342,1.15061,3.52389,1.13101,0.43909,0.2556,0.28015,0.19483,1.07365,3.11287,1.05897,8.416e-05,8.416e-05,8.416e-05
10,81.0696,1.17267,3.35887,1.14377,0.39342,0.40349,0.32646,0.22943,1.05559,2.87707,1.04492,8.218e-05,8.218e-05,8.218e-05
11,88.1617,1.16032,3.21834,1.12751,0.41389,0.45219,0.34951,0.2398,1.05296,2.79735,1.04086,8.02e-05,8.02e-05,8.02e-05
12,95.425,1.17992,3.15764,1.14445,0.42303,0.5046,0.37712,0.27013,1.06337,2.62546,1.0581,7.822e-05,7.822e-05,7.822e-05
13,102.461,1.13298,3.03384,1.1367,0.43813,0.5696,0.39737,0.28381,1.04218,2.51491,1.04978,7.624e-05,7.624e-05,7.624e-05
14,109.633,1.18535,2.96558,1.16786,0.42971,0.54911,0.40434,0.2856,1.05876,2.4679,1.06854,7.426e-05,7.426e-05,7.426e-05
15,116.667,1.10985,2.80621,1.1086,0.43806,0.57934,0.41401,0.29513,1.04611,2.43072,1.05502,7.228e-05,7.228e-05,7.228e-05
16,123.759,1.1408,2.805,1.13435,0.4475,0.63457,0.42627,0.30677,1.01905,2.3757,1.04454,7.03e-05,7.03e-05,7.03e-05
17,130.728,1.11884,2.7638,1.13009,0.44693,0.60232,0.43296,0.31273,1.0232,2.34196,1.05758,6.832e-05,6.832e-05,6.832e-05
18,137.829,1.14907,2.84239,1.16317,0.48546,0.58009,0.44398,0.31707,1.01558,2.29103,1.0545,6.634e-05,6.634e-05,6.634e-05
19,144.926,1.11768,2.73558,1.145,0.45232,0.64603,0.44927,0.32011,1.01489,2.27336,1.05094,6.436e-05,6.436e-05,6.436e-05
20,152.135,1.1099,2.71456,1.1318,0.42421,0.6817,0.44796,0.31995,1.01654,2.25151,1.04147,6.238e-05,6.238e-05,6.238e-05
21,159.043,1.10582,2.67458,1.12489,0.44769,0.61356,0.44896,0.31679,1.01227,2.22627,1.04829,6.04e-05,6.04e-05,6.04e-05
22,166.267,1.09066,2.63764,1.12583,0.4887,0.59557,0.46123,0.32908,1.00582,2.2051,1.04721,5.842e-05,5.842e-05,5.842e-05
23,173.595,1.07761,2.59681,1.10263,0.45851,0.67182,0.46036,0.33215,1.01663,2.15002,1.05816,5.644e-05,5.644e-05,5.644e-05
24,180.734,1.06788,2.57499,1.10881,0.42872,0.72847,0.47387,0.34015,1.00387,2.14937,1.04857,5.446e-05,5.446e-05,5.446e-05
25,187.865,1.07938,2.50514,1.11379,0.42587,0.72597,0.47697,0.34495,1.00251,2.11826,1.04211,5.248e-05,5.248e-05,5.248e-05
26,195.043,1.05054,2.51826,1.09802,0.43605,0.70973,0.45981,0.32434,1.00209,2.10496,1.04767,5.05e-05,5.05e-05,5.05e-05
27,202.06,1.07184,2.55088,1.11164,0.45055,0.69438,0.49429,0.35331,0.99757,2.11599,1.04181,4.852e-05,4.852e-05,4.852e-05
28,209.247,1.08198,2.49821,1.11124,0.46515,0.686,0.48468,0.34793,0.99075,2.07956,1.03514,4.654e-05,4.654e-05,4.654e-05
29,216.357,1.06225,2.51872,1.11095,0.45973,0.70647,0.49474,0.35216,0.98598,2.06103,1.03164,4.456e-05,4.456e-05,4.456e-05
30,223.339,1.0855,2.47584,1.11994,0.44956,0.74645,0.47195,0.34033,0.99975,2.04867,1.03994,4.258e-05,4.258e-05,4.258e-05
31,230.31,1.04559,2.48341,1.09736,0.46471,0.69535,0.48149,0.3421,0.99085,2.03298,1.03997,4.06e-05,4.06e-05,4.06e-05
32,237.357,1.05967,2.47228,1.09533,0.45991,0.70399,0.47694,0.34126,0.98881,2.02364,1.04174,3.862e-05,3.862e-05,3.862e-05
33,244.242,1.10231,2.48725,1.12265,0.44902,0.75119,0.48538,0.34896,0.97299,2.01179,1.03183,3.664e-05,3.664e-05,3.664e-05
34,251.84,1.06381,2.4202,1.11106,0.43197,0.75533,0.49903,0.35889,0.97943,2.02706,1.03312,3.466e-05,3.466e-05,3.466e-05
35,258.766,1.01748,2.44536,1.07265,0.45082,0.76001,0.48294,0.34951,0.98984,2.01435,1.03712,3.268e-05,3.268e-05,3.268e-05
36,266.444,1.07437,2.42724,1.1107,0.44565,0.78142,0.48268,0.34782,0.98847,1.99432,1.03292,3.07e-05,3.07e-05,3.07e-05
37,273.451,1.03369,2.45377,1.08407,0.4356,0.76019,0.48854,0.35055,0.98899,1.99216,1.04021,2.872e-05,2.872e-05,2.872e-05
38,280.424,1.07486,2.41961,1.10814,0.46457,0.7466,0.48312,0.34664,0.99566,1.98645,1.04453,2.674e-05,2.674e-05,2.674e-05
39,287.555,1.04289,2.42011,1.08968,0.46899,0.72272,0.48346,0.35065,0.97817,1.96773,1.03266,2.476e-05,2.476e-05,2.476e-05
40,294.529,1.01541,2.4239,1.07602,0.45365,0.75319,0.48551,0.35282,0.98487,1.96564,1.03788,2.278e-05,2.278e-05,2.278e-05
41,302.809,0.97731,2.73149,1.07883,0.47287,0.67513,0.47832,0.35254,0.98743,2.00781,1.0322,2.08e-05,2.08e-05,2.08e-05
42,310.087,0.97835,2.72858,1.06087,0.47085,0.68795,0.47877,0.35251,0.98977,2.04791,1.03934,1.882e-05,1.882e-05,1.882e-05
43,317.18,0.96624,2.71528,1.05763,0.46828,0.6795,0.48551,0.35886,0.98792,2.05376,1.03357,1.684e-05,1.684e-05,1.684e-05
44,324.191,0.96056,2.69624,1.06216,0.47655,0.66726,0.48681,0.35969,0.98275,2.04629,1.03085,1.486e-05,1.486e-05,1.486e-05
45,331.421,0.98042,2.7136,1.06409,0.47323,0.66726,0.48067,0.35369,0.98955,2.05597,1.03345,1.288e-05,1.288e-05,1.288e-05
46,338.497,0.96629,2.69563,1.05728,0.46267,0.71223,0.48391,0.35848,0.98212,2.04044,1.02817,1.09e-05,1.09e-05,1.09e-05
47,345.447,0.98275,2.71203,1.07247,0.47455,0.69597,0.4837,0.35704,0.98112,2.03352,1.02645,8.92e-06,8.92e-06,8.92e-06
48,352.502,0.96851,2.67324,1.05873,0.46782,0.6935,0.48181,0.35561,0.97658,2.03125,1.02335,6.94e-06,6.94e-06,6.94e-06
49,359.472,0.96273,2.67682,1.05342,0.46794,0.69834,0.48794,0.35849,0.97362,2.03436,1.02375,4.96e-06,4.96e-06,4.96e-06
50,366.608,0.95895,2.69266,1.04556,0.46938,0.691,0.48651,0.36099,0.97724,2.03407,1.0256,2.98e-06,2.98e-06,2.98e-06
