epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85168,1.39016,3.57089,1.38627,0.0029,0.8059,0.09542,0.05624,1.15708,3.75879,1.16147,0.000545744,0.000545744,0.000545744
2,16.4044,1.23287,2.52502,1.24,0.42949,0.44287,0.36266,0.24365,1.14638,2.36322,1.21682,0.00110114,0.00110114,0.00110114
3,23.1856,1.27179,2.17492,1.25264,0.41247,0.73366,0.45251,0.29187,1.14871,1.83757,1.19632,0.00165546,0.00165546,0.00165546
4,29.9757,1.22417,1.91449,1.2075,0.4664,0.6312,0.42939,0.2643,1.34612,1.76407,1.27444,0.00166334,0.00166334,0.00166334
5,36.4949,1.19833,1.67124,1.19757,0.44712,0.74138,0.47238,0.31424,1.25573,1.47317,1.20863,0.00166049,0.00166049,0.00166049
6,43.2552,1.20018,1.5456,1.19655,0.43925,0.78124,0.47355,0.32608,1.16487,1.40955,1.14132,0.00165684,0.00165684,0.00165684
7,49.9792,1.13554,1.39771,1.16222,0.46734,0.75934,0.48096,0.32975,1.10476,1.35556,1.14216,0.00165238,0.00165238,0.00165238
8,57.1681,1.15631,1.42591,1.1669,0.46404,0.72421,0.46549,0.33089,1.08207,1.32767,1.12536,0.00164713,0.00164713,0.00164713
9,64.118,1.13961,1.3923,1.1533,0.46398,0.78723,0.48536,0.35532,1.04088,1.31845,1.09178,0.00164108,0.00164108,0.00164108
10,71.0914,1.0931,1.30899,1.13107,0.42915,0.74269,0.45076,0.298,1.12816,1.44763,1.13448,0.00163424,0.00163424,0.00163424
11,77.9515,1.11957,1.28861,1.13281,0.45048,0.80433,0.46513,0.32665,1.08643,1.32237,1.11759,0.00162661,0.00162661,0.00162661
12,84.718,1.08958,1.2628,1.09891,0.46596,0.78217,0.48442,0.34225,1.0787,1.20996,1.09532,0.00161822,0.00161822,0.00161822
