epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1593,2.13051,1.81092,1.87066,0,0,0,0,2.16008,2.78114,1.77149,0.0804554,9.82143e-05,9.82143e-05
2,53.689,1.83654,1.06809,1.66267,0.33333,0.01299,0.17182,0.10717,2.18917,1.55447,1.77067,0.060554,0.000196906,0.000196906
3,79.619,1.78686,0.9644,1.60561,0.47448,0.72309,0.45124,0.27264,1.93324,0.91686,1.69543,0.0406514,0.000294278,0.000294278
4,105.53,1.74415,0.92328,1.5749,0.43583,0.76283,0.47943,0.29543,1.95025,0.91089,1.62925,0.0207475,0.00039033,0.00039033
5,131.028,1.71,0.88634,1.57729,0.44247,0.78792,0.47557,0.27487,2.06557,0.87298,1.7116,0.000842204,0.000485061,0.000485061
6,156.377,1.71666,0.8736,1.59549,0.45134,0.78041,0.4616,0.2862,1.97134,0.85811,1.67984,0.0004835,0.0004835,0.0004835
7,182.132,1.67194,0.86521,1.53846,0.42667,0.79817,0.44248,0.31951,1.49855,0.93145,1.44687,0.0004802,0.0004802,0.0004802
8,208.224,1.64358,0.83121,1.53915,0.47155,0.67275,0.43322,0.32637,1.52944,0.85469,1.49902,0.0004769,0.0004769,0.0004769
9,236.21,1.60216,0.83498,1.53575,0.4339,0.73746,0.42109,0.29981,1.57375,0.90911,1.50089,0.0004736,0.0004736,0.0004736
10,265.704,1.58467,0.82354,1.52069,0.44082,0.77096,0.45013,0.33763,1.40518,0.84728,1.41606,0.0004703,0.0004703,0.0004703
11,293.542,1.58215,0.8158,1.51939,0.43452,0.8124,0.45915,0.29186,1.83797,0.81506,1.5449,0.000467,0.000467,0.000467
12,320.828,1.54679,0.78702,1.51844,0.46536,0.75444,0.45975,0.30285,1.76557,0.81561,1.56249,0.0004637,0.0004637,0.0004637
13,347.796,1.63237,0.78819,1.52533,0.47049,0.74096,0.4928,0.34943,1.4242,0.81359,1.42788,0.0004604,0.0004604,0.0004604
14,374.472,1.57032,0.7864,1.49791,0.46093,0.72197,0.43848,0.33109,1.4242,0.82125,1.4206,0.0004571,0.0004571,0.0004571
15,402.335,1.50419,0.76696,1.45568,0.44538,0.80588,0.46899,0.33468,1.497,0.80998,1.46627,0.0004538,0.0004538,0.0004538
16,429.011,1.50218,0.76634,1.46806,0.45781,0.81878,0.46689,0.35117,1.34554,0.74475,1.36791,0.0004505,0.0004505,0.0004505
17,455.492,1.48711,0.74918,1.45886,0.43127,0.83912,0.48104,0.34085,1.54072,0.76426,1.45031,0.0004472,0.0004472,0.0004472
18,483.147,1.57511,0.757,1.48514,0.43365,0.81299,0.46839,0.34136,1.4537,0.80216,1.43704,0.0004439,0.0004439,0.0004439
19,509.744,1.53988,0.75022,1.4823,0.47437,0.79116,0.44199,0.32742,1.44839,0.78889,1.42286,0.0004406,0.0004406,0.0004406
20,536.164,1.46233,0.72821,1.44996,0.45609,0.76812,0.47535,0.35839,1.38606,0.7569,1.40211,0.0004373,0.0004373,0.0004373
21,562.893,1.50331,0.73573,1.47208,0.44939,0.79516,0.44676,0.34193,1.38418,0.76049,1.40134,0.000434,0.000434,0.000434
22,589.353,1.47359,0.74186,1.45669,0.4309,0.82815,0.45786,0.32729,1.55098,0.79355,1.47678,0.0004307,0.0004307,0.0004307
23,614.557,1.43803,0.7344,1.43784,0.43714,0.86785,0.48237,0.33332,1.51425,0.72517,1.44537,0.0004274,0.0004274,0.0004274
24,640.059,1.50942,0.73944,1.47529,0.40834,0.85412,0.43186,0.31962,1.36225,0.81086,1.38706,0.0004241,0.0004241,0.0004241
