epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4622,1.56689,4.45952,1.46205,0,0,0,0,1.41109,3.75774,1.29068,0.0672946,3.27381e-05,3.27381e-05
2,53.2294,1.46423,4.2719,1.36583,0,0,0,0,1.36236,3.70995,1.19432,0.033994,6.54173e-05,6.54173e-05
3,77.5041,1.41113,4.10789,1.30565,0,0,0,0,1.31544,3.69893,1.17237,0.000692675,9.74365e-05,9.74365e-05
4,102.1,1.33602,4.04676,1.252,0,0,0,0,1.26865,3.63984,1.15705,9.703e-05,9.703e-05,9.703e-05
5,126.598,1.32801,3.93362,1.23856,0,0,0,0,1.3116,3.55712,1.19315,9.604e-05,9.604e-05,9.604e-05
6,150.239,1.29599,3.87198,1.20739,0,0,0,0,1.26253,3.51759,1.15581,9.505e-05,9.505e-05,9.505e-05
7,175.096,1.23989,3.73234,1.17253,0,0,0,0,1.31998,3.36031,1.17679,9.406e-05,9.406e-05,9.406e-05
8,199.589,1.25864,3.63809,1.18432,0.5,0.00575,0.25287,0.2023,1.30883,3.25815,1.15031,9.307e-05,9.307e-05,9.307e-05
9,223.91,1.28685,3.5249,1.20156,0.22222,0.06897,0.13964,0.10098,1.29131,3.11886,1.12727,9.208e-05,9.208e-05,9.208e-05
10,248.423,1.31389,3.33966,1.21042,0.43996,0.16816,0.26952,0.17957,1.31963,2.97272,1.16722,9.109e-05,9.109e-05,9.109e-05
11,273.91,1.24872,3.21989,1.18398,0.46367,0.26209,0.31153,0.20567,1.33013,2.82931,1.1795,9.01e-05,9.01e-05,9.01e-05
12,300.158,1.3162,3.16357,1.22815,0.45079,0.36002,0.33203,0.22481,1.28105,2.73998,1.14479,8.911e-05,8.911e-05,8.911e-05
13,324.222,1.26907,3.05171,1.20069,0.45675,0.33527,0.32875,0.2331,1.22337,2.78955,1.09859,8.812e-05,8.812e-05,8.812e-05
14,347.858,1.27931,3.00594,1.19587,0.41248,0.37849,0.31317,0.22349,1.28045,2.64398,1.14595,8.713e-05,8.713e-05,8.713e-05
15,371.601,1.29571,2.99439,1.20922,0.4484,0.42894,0.3545,0.24122,1.26004,2.55832,1.13512,8.614e-05,8.614e-05,8.614e-05
16,395.41,1.25073,2.91356,1.18995,0.45665,0.46242,0.37776,0.25059,1.28061,2.58111,1.14154,8.515e-05,8.515e-05,8.515e-05
17,418.993,1.26963,2.9215,1.21571,0.47216,0.51064,0.38905,0.27065,1.25927,2.52274,1.12428,8.416e-05,8.416e-05,8.416e-05
18,442.751,1.25379,2.81716,1.20001,0.44348,0.47716,0.37353,0.25174,1.32799,2.45976,1.17335,8.317e-05,8.317e-05,8.317e-05
19,466.454,1.24931,2.78256,1.18677,0.45365,0.4894,0.38744,0.25796,1.29494,2.43999,1.15657,8.218e-05,8.218e-05,8.218e-05
20,490.261,1.21159,2.7855,1.18285,0.45879,0.48615,0.37953,0.25852,1.25737,2.49253,1.13528,8.119e-05,8.119e-05,8.119e-05
21,514.096,1.26643,2.78964,1.2158,0.44419,0.5531,0.39285,0.26579,1.28683,2.42151,1.15358,8.02e-05,8.02e-05,8.02e-05
22,537.641,1.2268,2.65551,1.19682,0.45631,0.5696,0.39273,0.26405,1.32603,2.3418,1.1823,7.921e-05,7.921e-05,7.921e-05
23,561.295,1.20774,2.6702,1.16354,0.45574,0.56135,0.39611,0.26733,1.27715,2.2902,1.15377,7.822e-05,7.822e-05,7.822e-05
24,585.005,1.2295,2.6164,1.19313,0.45926,0.60233,0.42087,0.28898,1.27584,2.23798,1.14953,7.723e-05,7.723e-05,7.723e-05
25,608.777,1.17958,2.60591,1.1719,0.44758,0.60856,0.41252,0.28583,1.27376,2.17493,1.15652,7.624e-05,7.624e-05,7.624e-05
26,633.04,1.21397,2.6096,1.18525,0.45915,0.58983,0.41487,0.28376,1.261,2.19798,1.14504,7.525e-05,7.525e-05,7.525e-05
27,657.496,1.19296,2.56283,1.17984,0.4606,0.61931,0.41602,0.27947,1.2995,2.20959,1.16595,7.426e-05,7.426e-05,7.426e-05
28,681.448,1.21654,2.55667,1.20092,0.46143,0.66178,0.43422,0.28974,1.29401,2.15112,1.14764,7.327e-05,7.327e-05,7.327e-05
29,705.306,1.18785,2.48232,1.15805,0.448,0.64054,0.43082,0.29679,1.22457,2.12312,1.11877,7.228e-05,7.228e-05,7.228e-05
30,729.782,1.17909,2.46299,1.17096,0.45366,0.66152,0.43364,0.29486,1.25563,2.14678,1.13626,7.129e-05,7.129e-05,7.129e-05
31,753.658,1.17623,2.48264,1.15675,0.45227,0.64454,0.44028,0.30337,1.23969,2.1099,1.12051,7.03e-05,7.03e-05,7.03e-05
32,778.318,1.19212,2.49145,1.16718,0.45005,0.67801,0.41542,0.27693,1.28914,2.06226,1.15022,6.931e-05,6.931e-05,6.931e-05
33,802.329,1.17986,2.43585,1.17368,0.46512,0.65178,0.43222,0.29244,1.25886,2.08186,1.13459,6.832e-05,6.832e-05,6.832e-05
34,826.181,1.20071,2.43679,1.18046,0.45498,0.71149,0.45237,0.30929,1.24598,2.03469,1.13173,6.733e-05,6.733e-05,6.733e-05
35,849.993,1.16925,2.41013,1.15981,0.46711,0.70574,0.43527,0.29673,1.25098,2.00161,1.11997,6.634e-05,6.634e-05,6.634e-05
36,873.975,1.12461,2.35876,1.12981,0.45362,0.70249,0.43209,0.29639,1.24334,1.99654,1.1264,6.535e-05,6.535e-05,6.535e-05
37,897.736,1.15958,2.40155,1.15025,0.47878,0.69824,0.45031,0.29998,1.28694,2.00349,1.15177,6.436e-05,6.436e-05,6.436e-05
38,921.446,1.17043,2.37358,1.14573,0.46096,0.69749,0.43756,0.28984,1.30929,2.01998,1.16405,6.337e-05,6.337e-05,6.337e-05
39,945.31,1.14954,2.35235,1.14511,0.44394,0.69425,0.43137,0.29515,1.26749,2.02139,1.12713,6.238e-05,6.238e-05,6.238e-05
40,969.147,1.12774,2.32888,1.13529,0.4756,0.7497,0.45337,0.29861,1.29315,1.96912,1.1395,6.139e-05,6.139e-05,6.139e-05
41,992.978,1.13805,2.32276,1.13682,0.47725,0.75545,0.45919,0.3063,1.29209,1.93475,1.13421,6.04e-05,6.04e-05,6.04e-05
42,1017.22,1.16844,2.36214,1.16218,0.45659,0.74071,0.43652,0.29772,1.27446,1.96371,1.12469,5.941e-05,5.941e-05,5.941e-05
43,1041.41,1.16298,2.33012,1.14851,0.46842,0.71298,0.44131,0.30773,1.25458,1.96246,1.12228,5.842e-05,5.842e-05,5.842e-05
44,1065.15,1.14951,2.2984,1.14775,0.46072,0.69824,0.43822,0.30483,1.2501,1.9507,1.1139,5.743e-05,5.743e-05,5.743e-05
45,1089.1,1.14538,2.28922,1.14529,0.46426,0.71873,0.44408,0.30253,1.27493,1.96716,1.12749,5.644e-05,5.644e-05,5.644e-05
46,1112.93,1.13032,2.24843,1.1204,0.46475,0.75146,0.44881,0.30696,1.24517,1.93706,1.11484,5.545e-05,5.545e-05,5.545e-05
47,1136.85,1.15593,2.25403,1.12749,0.46889,0.75146,0.44976,0.31089,1.23715,1.92573,1.11353,5.446e-05,5.446e-05,5.446e-05
48,1160.97,1.11189,2.25415,1.11099,0.45312,0.74071,0.4322,0.29418,1.25744,1.88994,1.11669,5.347e-05,5.347e-05,5.347e-05
49,1184.71,1.13197,2.18236,1.11515,0.4657,0.7637,0.4495,0.31126,1.23273,1.86391,1.10057,5.248e-05,5.248e-05,5.248e-05
50,1208.69,1.13333,2.25447,1.12752,0.47731,0.79467,0.46194,0.31001,1.25913,1.88739,1.11657,5.149e-05,5.149e-05,5.149e-05
51,1233.81,1.12917,2.23135,1.1216,0.46608,0.77918,0.45412,0.30432,1.26852,1.88188,1.1136,5.05e-05,5.05e-05,5.05e-05
52,1258.05,1.11963,2.21602,1.12142,0.47055,0.7447,0.44307,0.3098,1.20975,1.88474,1.09273,4.951e-05,4.951e-05,4.951e-05
53,1281.87,1.13575,2.24313,1.13014,0.47458,0.79392,0.45624,0.3065,1.25348,1.86853,1.11574,4.852e-05,4.852e-05,4.852e-05
54,1305.84,1.14069,2.22901,1.12498,0.46819,0.80042,0.44701,0.30151,1.26478,1.86261,1.11565,4.753e-05,4.753e-05,4.753e-05
55,1331.66,1.14031,2.21213,1.12463,0.47563,0.80691,0.45508,0.30718,1.2709,1.86082,1.11604,4.654e-05,4.654e-05,4.654e-05
56,1357.07,1.12499,2.24925,1.12543,0.46854,0.7522,0.44726,0.30519,1.25742,1.87369,1.1101,4.555e-05,4.555e-05,4.555e-05
57,1383.07,1.13121,2.19269,1.11459,0.46861,0.76194,0.44441,0.30684,1.23561,1.87556,1.1038,4.456e-05,4.456e-05,4.456e-05
58,1408.82,1.11926,2.17809,1.10811,0.47453,0.78818,0.44937,0.30642,1.23864,1.84729,1.09823,4.357e-05,4.357e-05,4.357e-05
59,1434.84,1.11099,2.18574,1.10841,0.46474,0.79392,0.43768,0.3008,1.23045,1.83421,1.09638,4.258e-05,4.258e-05,4.258e-05
60,1459.98,1.13717,2.23991,1.12193,0.47088,0.77418,0.43897,0.29977,1.23863,1.85085,1.10421,4.159e-05,4.159e-05,4.159e-05
61,1485.23,1.1064,2.15476,1.11472,0.47409,0.78642,0.44116,0.29493,1.27896,1.85731,1.12052,4.06e-05,4.06e-05,4.06e-05
62,1510.37,1.11832,2.21258,1.12112,0.47326,0.80691,0.44632,0.29283,1.30513,1.84486,1.1328,3.961e-05,3.961e-05,3.961e-05
63,1535.75,1.1222,2.17244,1.12476,0.47081,0.77668,0.43709,0.29382,1.27553,1.85501,1.11629,3.862e-05,3.862e-05,3.862e-05
64,1562,1.11177,2.15367,1.10983,0.46657,0.78568,0.44031,0.30065,1.25873,1.84313,1.10804,3.763e-05,3.763e-05,3.763e-05
65,1587.33,1.09996,2.15737,1.09563,0.47288,0.78168,0.44312,0.30073,1.24339,1.82964,1.10384,3.664e-05,3.664e-05,3.664e-05
66,1613.19,1.12567,2.13457,1.11455,0.46957,0.79392,0.4415,0.29976,1.2408,1.82126,1.10067,3.565e-05,3.565e-05,3.565e-05
67,1640.14,1.14282,2.14258,1.11611,0.46699,0.76444,0.44088,0.30563,1.22706,1.84491,1.09352,3.466e-05,3.466e-05,3.466e-05
68,1666.76,1.12563,2.1562,1.11921,0.46252,0.77344,0.42995,0.29323,1.25991,1.84547,1.10662,3.367e-05,3.367e-05,3.367e-05
