epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0257,2.03015,1.38716,1.81523,0.43064,0.69451,0.40964,0.22848,2.14289,0.99219,1.79682,0.0802777,9.91071e-05,9.91071e-05
2,106.106,1.84311,0.93241,1.68395,0.46867,0.70671,0.45532,0.27688,1.996,0.87284,1.75761,0.0603764,0.000197793,0.000197793
3,157.483,1.80074,0.89924,1.68205,0.44369,0.71895,0.46984,0.29621,1.82549,0.94469,1.70735,0.0404737,0.000295159,0.000295159
4,207.949,1.80384,0.87572,1.66596,0.40141,0.79665,0.44253,0.23732,2.30668,0.98172,1.97517,0.0205698,0.000391205,0.000391205
5,262.597,1.7835,0.86048,1.67459,0.3984,0.71096,0.41009,0.25996,1.75976,0.87787,1.62899,0.000664502,0.000485931,0.000485931
6,312.758,1.84524,0.87384,1.71834,0.3922,0.7859,0.411,0.25609,1.9842,0.90146,1.7699,0.0004835,0.0004835,0.0004835
7,362.525,1.78631,0.86218,1.63617,0.41861,0.78588,0.44472,0.26688,1.99164,0.95833,1.7631,0.0004802,0.0004802,0.0004802
8,414.03,1.80405,0.83851,1.66069,0.41084,0.83736,0.44948,0.30621,1.76668,0.78751,1.62056,0.0004769,0.0004769,0.0004769
9,462.971,1.81601,0.83549,1.69924,0.41973,0.78862,0.43857,0.21944,2.55211,0.90208,2.08927,0.0004736,0.0004736,0.0004736
10,511.004,1.74658,0.81099,1.67646,0.45933,0.7984,0.45983,0.27086,2.05049,0.82229,1.73686,0.0004703,0.0004703,0.0004703
11,559.187,1.75692,0.80858,1.66515,0.45695,0.76817,0.43316,0.24536,2.11568,0.83496,1.81754,0.000467,0.000467,0.000467
12,607.777,1.7311,0.79212,1.69204,0.44977,0.73246,0.44654,0.22858,2.49082,0.87827,2.09447,0.0004637,0.0004637,0.0004637
13,656.95,1.73029,0.79323,1.64986,0.45163,0.7397,0.43463,0.28206,1.83317,0.8159,1.67466,0.0004604,0.0004604,0.0004604
14,707.162,1.71211,0.79898,1.63704,0.45248,0.79016,0.45858,0.28762,2.01696,0.79723,1.81025,0.0004571,0.0004571,0.0004571
15,755.985,1.67325,0.7944,1.62127,0.45208,0.76668,0.45638,0.25483,2.21485,0.85648,1.90369,0.0004538,0.0004538,0.0004538
16,804.184,1.64748,0.77994,1.62785,0.43169,0.70324,0.41904,0.23752,2.20187,0.89449,1.87964,0.0004505,0.0004505,0.0004505
17,849.666,1.65194,0.77674,1.6176,0.45024,0.81889,0.45417,0.22181,2.54575,0.85977,2.13773,0.0004472,0.0004472,0.0004472
18,897.007,1.69112,0.78831,1.62644,0.42857,0.77642,0.43914,0.26009,2.02079,0.82627,1.75049,0.0004439,0.0004439,0.0004439
19,945.326,1.69443,0.78022,1.63411,0.43093,0.78792,0.43304,0.22597,2.41926,0.80389,1.95945,0.0004406,0.0004406,0.0004406
20,997.243,1.58949,0.74111,1.58032,0.43139,0.77743,0.45518,0.25633,2.09111,0.83043,1.80901,0.0004373,0.0004373,0.0004373
21,1048.71,1.63119,0.73593,1.60216,0.44769,0.7934,0.45164,0.26291,2.20025,0.79026,1.84549,0.000434,0.000434,0.000434
22,1100.62,1.57611,0.74029,1.56609,0.47684,0.79042,0.4616,0.2748,2.11632,0.79653,1.80633,0.0004307,0.0004307,0.0004307
